Vocabulary,P(not Spam),P(Spam)
miss,0.00980392156862745,0.08823529411764706
offer,0.00980392156862745,0.16666666666666666
nt,0.00980392156862745,0.08823529411764706
exclusive,0.00980392156862745,0.19607843137254902
promotion,0.00980392156862745,0.0784313725490196
special,0.00980392156862745,0.1568627450980392
50,0.00980392156862745,0.0784313725490196
save,0.00980392156862745,0.0784313725490196
win,0.00980392156862745,0.11764705882352941
big,0.00980392156862745,0.11764705882352941
lottery,0.00980392156862745,0.11764705882352941
course,0.00980392156862745,0.12745098039215685
hidden,0.00980392156862745,0.12745098039215685
unlock,0.00980392156862745,0.12745098039215685
potential,0.00980392156862745,0.12745098039215685
get,0.00980392156862745,0.12745098039215685
rich,0.00980392156862745,0.12745098039215685
amazing,0.00980392156862745,0.12745098039215685
quick,0.00980392156862745,0.12745098039215685
secret,0.00980392156862745,0.12745098039215685
weight,0.00980392156862745,0.14705882352941177
weeks,0.00980392156862745,0.14705882352941177
4,0.00980392156862745,0.14705882352941177
loss,0.00980392156862745,0.14705882352941177
guaranteed,0.00980392156862745,0.14705882352941177
earn,0.00980392156862745,0.10784313725490197
easily,0.00980392156862745,0.10784313725490197
today,0.00980392156862745,0.10784313725490197
starting,0.00980392156862745,0.10784313725490197
home,0.00980392156862745,0.10784313725490197
congratulations,0.00980392156862745,0.08823529411764706
selected,0.00980392156862745,0.08823529411764706
ve,0.00980392156862745,0.08823529411764706
re,0.00980392156862745,0.08823529411764706
winner,0.00980392156862745,0.08823529411764706
claim,0.00980392156862745,0.08823529411764706
prize,0.00980392156862745,0.08823529411764706
exciting,0.00980392156862745,0.08823529411764706
hawaii,0.00980392156862745,0.10784313725490197
vacation,0.00980392156862745,0.10784313725490197
free,0.00980392156862745,0.10784313725490197
updates,0.10784313725490197,0.00980392156862745
weekly,0.00980392156862745,0.10784313725490197
newsletter,0.00980392156862745,0.10784313725490197
next,0.10784313725490197,0.10784313725490197
meeting,0.00980392156862745,0.10784313725490197
week,0.00980392156862745,0.10784313725490197
team,0.00980392156862745,0.10784313725490197
schedule,0.00980392156862745,0.10784313725490197
order,0.10784313725490197,0.00980392156862745
shipped,0.00980392156862745,0.10784313725490197
month,0.10784313725490197,0.00980392156862745
events,0.00980392156862745,0.10784313725490197
upcoming,0.00980392156862745,0.10784313725490197
us,0.10784313725490197,0.00980392156862745
birthday,0.00980392156862745,0.10784313725490197
greetings,0.00980392156862745,0.10784313725490197
happy,0.00980392156862745,0.10784313725490197
deadline,0.10784313725490197,0.00980392156862745
friday,0.00980392156862745,0.10784313725490197
project,0.00980392156862745,0.10784313725490197
due,0.00980392156862745,0.10784313725490197
reminder,0.00980392156862745,0.10784313725490197
balance,0.10784313725490197,0.00980392156862745
update,0.00980392156862745,0.10784313725490197
account,0.00980392156862745,0.10784313725490197
purchase,0.10784313725490197,0.00980392156862745
thank,0.00980392156862745,0.10784313725490197
store,0.00980392156862745,0.10784313725490197
opinion,0.10784313725490197,0.00980392156862745
value,0.00980392156862745,0.10784313725490197
survey,0.00980392156862745,0.10784313725490197
invitation,0.10784313725490197,0.00980392156862745
webinar,0.00980392156862745,0.10784313725490197
trends,0.00980392156862745,0.10784313725490197
latest,0.00980392156862745,0.10784313725490197
join,0.00980392156862745,0.10784313725490197
